method,sequence_length,precision,latency_ms,throughput_tokens_per_s,dram_bytes_per_token,quality_drop,average_fusion_depth,p95_group_depth,entropy_before,entropy_after,entropy_gain,outlier_before,outlier_after,max_projection_error
entropy_guided,2048,w4a8,43.7982,46759.9035,1658.6446,0.0107,2.3333,4.0,0.317,0.3701,0.4049,0.000661,0.000267,0.0
no_fusion,2048,fp16,55.8213,36688.5032,2064.2334,0.0,1,1.0,0.379,0.4323,0.3049,0.000671,8e-06,0.0
static_fusion,2048,fp16,45.7221,44792.3501,1705.0997,0.0659,2.3333,3.0,0.379,0.4323,0.3049,0.000671,8e-06,0.0
entropy_guided,2048,fp16,41.4337,49428.415,1535.1649,0.0,3.5,4.0,0.379,0.4323,0.3049,0.000671,8e-06,0.0
no_fusion,2048,w8a8,55.3585,36995.2377,2064.2334,0.0887,1,1.0,0.379,0.4323,0.3049,0.000671,8e-06,0.0
static_fusion,2048,w8a8,45.2593,45250.4003,1705.0997,0.1546,2.3333,3.0,0.379,0.4323,0.3049,0.000671,8e-06,0.0
entropy_guided,2048,w8a8,40.9708,49986.7806,1535.1649,0.052,3.5,4.0,0.379,0.4323,0.3049,0.000671,8e-06,0.0
no_fusion,2048,w4a8,55.0423,37207.721,2064.2334,0.1647,1,1.0,0.379,0.4323,0.3049,0.000671,8e-06,0.0
static_fusion,2048,w4a8,44.9431,45568.699,1705.0997,0.2306,2.3333,3.0,0.379,0.4323,0.3049,0.000671,8e-06,0.0
entropy_guided,2048,w4a8,40.6547,50375.4857,1535.1649,0.128,3.5,4.0,0.379,0.4323,0.3049,0.000671,8e-06,0.0
no_fusion,2048,fp16,56.0154,36561.3997,2072.3192,0.0,1,1.0,0.4132,0.4588,0.4117,0.000712,8e-06,0.0
static_fusion,2048,fp16,45.9587,44561.7234,1714.9594,0.0571,2.3333,3.0,0.4132,0.4588,0.4117,0.000712,8e-06,0.0
entropy_guided,2048,fp16,41.2982,49590.516,1529.5216,0.0,3.5,4.0,0.4132,0.4588,0.4117,0.000712,8e-06,0.0
no_fusion,2048,w8a8,55.5525,36866.0038,2072.3192,0.089,1,1.0,0.4132,0.4588,0.4117,0.000712,8e-06,0.0
static_fusion,2048,w8a8,45.4959,45015.0451,1714.9594,0.1461,2.3333,3.0,0.4132,0.4588,0.4117,0.000712,8e-06,0.0
entropy_guided,2048,w8a8,40.8354,50152.5709,1529.5216,0.0,3.5,4.0,0.4132,0.4588,0.4117,0.000712,8e-06,0.0
no_fusion,2048,w4a8,55.2364,37077.0009,2072.3192,0.1653,1,1.0,0.4132,0.4588,0.4117,0.000712,8e-06,0.0
static_fusion,2048,w4a8,45.1798,45330.0298,1714.9594,0.2223,2.3333,3.0,0.4132,0.4588,0.4117,0.000712,8e-06,0.0
entropy_guided,2048,w4a8,40.5193,50543.8687,1529.5216,0.0664,3.5,4.0,0.4132,0.4588,0.4117,0.000712,8e-06,0.0
no_fusion,2048,fp16,55.9324,36615.6334,2068.8622,0.0,1,1.0,0.4379,0.4809,0.4048,0.000549,2.3e-05,0.0
static_fusion,2048,fp16,45.8709,44647.0035,1711.3016,0.0497,2.3333,3.0,0.4379,0.4809,0.4048,0.000549,2.3e-05,0.0
entropy_guided,2048,fp16,44.4135,46112.1142,1651.8247,0.0,2.3333,4.0,0.4379,0.4809,0.4048,0.000549,2.3e-05,0.0
no_fusion,2048,w8a8,55.4696,36921.1456,2068.8622,0.0878,1,1.0,0.4379,0.4809,0.4048,0.000549,2.3e-05,0.0
static_fusion,2048,w8a8,45.4081,45102.0708,1711.3016,0.1375,2.3333,3.0,0.4379,0.4809,0.4048,0.000549,2.3e-05,0.0
entropy_guided,2048,w8a8,43.9507,46597.7004,1651.8247,0.0,2.3333,4.0,0.4379,0.4809,0.4048,0.000549,2.3e-05,0.0
no_fusion,2048,w4a8,55.1534,37132.7762,2068.8622,0.1631,1,1.0,0.4379,0.4809,0.4048,0.000549,2.3e-05,0.0
static_fusion,2048,w4a8,45.092,45418.2789,1711.3016,0.2128,2.3333,3.0,0.4379,0.4809,0.4048,0.000549,2.3e-05,0.0
entropy_guided,2048,w4a8,43.6345,46935.3062,1651.8247,0.0,2.3333,4.0,0.4379,0.4809,0.4048,0.000549,2.3e-05,0.0
no_fusion,4096,fp16,64.2931,63708.2435,1194.6561,0.0,1,1.0,0.308,0.378,0.4661,0.000549,0.0,0.0
static_fusion,4096,fp16,52.8467,77507.2166,987.0227,0.084,2.3333,3.0,0.308,0.378,0.4661,0.000549,0.0,0.0
entropy_guided,4096,fp16,47.3336,86534.655,876.5424,0.0,3.5,4.0,0.308,0.378,0.4661,0.000549,0.0,0.0
no_fusion,4096,w8a8,63.7585,64242.4221,1194.6561,0.0878,1,1.0,0.308,0.378,0.4661,0.000549,0.0,0.0
static_fusion,4096,w8a8,52.3121,78299.2966,987.0227,0.1719,2.3333,3.0,0.308,0.378,0.4661,0.000549,0.0,0.0
entropy_guided,4096,w8a8,46.799,87523.1674,876.5424,0.0077,3.5,4.0,0.308,0.378,0.4661,0.000549,0.0,0.0
no_fusion,4096,w4a8,63.3933,64612.4771,1194.6561,0.1631,1,1.0,0.308,0.378,0.4661,0.000549,0.0,0.0
static_fusion,4096,w4a8,51.9469,78849.706,987.0227,0.2472,2.3333,3.0,0.308,0.378,0.4661,0.000549,0.0,0.0
entropy_guided,4096,w4a8,46.4339,88211.4646,876.5424,0.083,3.5,4.0,0.308,0.378,0.4661,0.000549,0.0,0.0
no_fusion,4096,fp16,64.799,63210.8366,1205.1962,0.0,1,1.0,0.3423,0.3874,0.5027,0.000631,0.001099,0.0
static_fusion,4096,fp16,53.4949,76567.9958,1000.5278,0.0809,2.3333,3.0,0.3423,0.3874,0.5027,0.000631,0.001099,0.0
entropy_guided,4096,fp16,56.0302,73103.4602,1051.2621,0.0,1.75,3.0,0.3423,0.3874,0.5027,0.000631,0.001099,0.0
no_fusion,4096,w8a8,64.2644,63736.6722,1205.1962,0.0884,1,1.0,0.3423,0.3874,0.5027,0.000631,0.001099,0.0
static_fusion,4096,w8a8,52.9603,77340.8997,1000.5278,0.1693,2.3333,3.0,0.3423,0.3874,0.5027,0.000631,0.001099,0.0
entropy_guided,4096,w8a8,55.4956,73807.6805,1051.2621,0.0,1.75,3.0,0.3423,0.3874,0.5027,0.000631,0.001099,0.0
no_fusion,4096,w4a8,63.8993,64100.907,1205.1962,0.1642,1,1.0,0.3423,0.3874,0.5027,0.000631,0.001099,0.0
static_fusion,4096,w4a8,52.5952,77877.8711,1000.5278,0.2451,2.3333,3.0,0.3423,0.3874,0.5027,0.000631,0.001099,0.0
entropy_guided,4096,w4a8,55.1304,74296.5558,1051.2621,0.0,1.75,3.0,0.3423,0.3874,0.5027,0.000631,0.001099,0.0
no_fusion,4096,fp16,64.3301,63671.5593,1195.4278,0.0,1,1.0,0.3779,0.433,0.4205,0.000814,0.0,0.0
static_fusion,4096,fp16,52.852,77499.4398,987.1332,0.0657,2.3333,3.0,0.3779,0.433,0.4205,0.000814,0.0,0.0
entropy_guided,4096,fp16,47.4941,86242.3119,879.8852,0.0,3.5,4.0,0.3779,0.433,0.4205,0.000814,0.0,0.0
no_fusion,4096,w8a8,63.7955,64205.1204,1195.4278,0.0897,1,1.0,0.3779,0.433,0.4205,0.000814,0.0,0.0
static_fusion,4096,w8a8,52.3174,78291.36,987.1332,0.1554,2.3333,3.0,0.3779,0.433,0.4205,0.000814,0.0,0.0
entropy_guided,4096,w8a8,46.9595,87224.1186,879.8852,0.0,3.5,4.0,0.3779,0.433,0.4205,0.000814,0.0,0.0
no_fusion,4096,w4a8,63.4304,64574.7445,1195.4278,0.1666,1,1.0,0.3779,0.433,0.4205,0.000814,0.0,0.0
static_fusion,4096,w4a8,51.9522,78841.6575,987.1332,0.2322,2.3333,3.0,0.3779,0.433,0.4205,0.000814,0.0,0.0
entropy_guided,4096,w4a8,46.5943,87907.7019,879.8852,0.0767,3.5,4.0,0.3779,0.433,0.4205,0.000814,0.0,0.0
no_fusion,4096,fp16,64.0581,63941.9724,1189.76,0.0,1,1.0,0.4452,0.4971,0.277,0.000651,0.0,0.0
static_fusion,4096,fp16,52.6119,77853.0633,982.1319,0.0443,2.3333,3.0,0.4452,0.4971,0.277,0.000651,0.0,0.0
entropy_guided,4096,fp16,53.6704,76317.6126,1001.0592,0.0,1.75,4.0,0.4452,0.4971,0.277,0.000651,0.0,0.0
no_fusion,4096,w8a8,63.5235,64480.0943,1189.76,0.0886,1,1.0,0.4452,0.4971,0.277,0.000651,0.0,0.0
static_fusion,4096,w8a8,52.0773,78652.2642,982.1319,0.1329,2.3333,3.0,0.4452,0.4971,0.277,0.000651,0.0,0.0
entropy_guided,4096,w8a8,53.1358,77085.4446,1001.0592,0.0,1.75,4.0,0.4452,0.4971,0.277,0.000651,0.0,0.0
no_fusion,4096,w4a8,63.1583,64852.9004,1189.76,0.1645,1,1.0,0.4452,0.4971,0.277,0.000651,0.0,0.0
static_fusion,4096,w4a8,51.7122,79207.6648,982.1319,0.2088,2.3333,3.0,0.4452,0.4971,0.277,0.000651,0.0,0.0
entropy_guided,4096,w4a8,52.7707,77618.8625,1001.0592,0.0365,1.75,4.0,0.4452,0.4971,0.277,0.000651,0.0,0.0
no_fusion,4096,fp16,64.2709,63730.2546,1194.1935,0.0,1,1.0,0.484,0.5257,0.3522,0.00057,0.0,0.0
static_fusion,4096,fp16,52.836,77522.97,986.799,0.0348,2.3333,3.0,0.484,0.5257,0.3522,0.00057,0.0,0.0
entropy_guided,4096,fp16,51.3727,79730.999,956.9404,0.0,2.3333,4.0,0.484,0.5257,0.3522,0.00057,0.0,0.0
no_fusion,4096,w8a8,63.7363,64264.804,1194.1935,0.088,1,1.0,0.484,0.5257,0.3522,0.00057,0.0,0.0
static_fusion,4096,w8a8,52.3014,78315.3736,986.799,0.1227,2.3333,3.0,0.484,0.5257,0.3522,0.00057,0.0,0.0
entropy_guided,4096,w8a8,50.8381,80569.4284,956.9404,0.0,2.3333,4.0,0.484,0.5257,0.3522,0.00057,0.0,0.0
no_fusion,4096,w4a8,63.3711,64635.1176,1194.1935,0.1634,1,1.0,0.484,0.5257,0.3522,0.00057,0.0,0.0
static_fusion,4096,w4a8,51.9362,78866.0099,986.799,0.1982,2.3333,3.0,0.484,0.5257,0.3522,0.00057,0.0,0.0
entropy_guided,4096,w4a8,50.473,81152.3353,956.9404,0.0142,2.3333,4.0,0.484,0.5257,0.3522,0.00057,0.0,0.0
no_fusion,8192,fp16,73.3391,111700.339,684.0977,0.0,1,1.0,0.3622,0.4248,0.417,0.000702,0.0,0.0
static_fusion,8192,fp16,60.5169,135367.0918,565.9502,0.0684,2.3333,3.0,0.3622,0.4248,0.417,0.000702,0.0,0.0
entropy_guided,8192,fp16,58.5397,139939.2705,545.6664,0.0,2.3333,4.0,0.3622,0.4248,0.417,0.000702,0.0,0.0
no_fusion,8192,w8a8,72.7278,112639.2544,684.0977,0.0889,1,1.0,0.3622,0.4248,0.417,0.000702,0.0,0.0
static_fusion,8192,w8a8,59.9056,136748.4867,565.9502,0.1573,2.3333,3.0,0.3622,0.4248,0.417,0.000702,0.0,0.0
entropy_guided,8192,w8a8,57.9284,141416.0667,545.6664,0.0,2.3333,4.0,0.3622,0.4248,0.417,0.000702,0.0,0.0
no_fusion,8192,w4a8,72.3102,113289.7156,684.0977,0.1651,1,1.0,0.3622,0.4248,0.417,0.000702,0.0,0.0
static_fusion,8192,w4a8,59.488,137708.3824,565.9502,0.2335,2.3333,3.0,0.3622,0.4248,0.417,0.000702,0.0,0.0
entropy_guided,8192,w4a8,57.5108,142442.8542,545.6664,0.0,2.3333,4.0,0.3622,0.4248,0.417,0.000702,0.0,0.0
no_fusion,8192,fp16,73.4333,111557.0739,685.0788,0.0,1,1.0,0.4101,0.458,0.402,0.000717,8e-06,0.0
static_fusion,8192,fp16,60.623,135130.2356,567.0552,0.0573,2.3333,3.0,0.4101,0.458,0.402,0.000717,8e-06,0.0
entropy_guided,8192,fp16,63.9376,128124.8607,600.5409,0.0,1.75,3.0,0.4101,0.458,0.402,0.000717,8e-06,0.0
no_fusion,8192,w8a8,72.8219,112493.5723,685.0788,0.089,1,1.0,0.4101,0.458,0.402,0.000717,8e-06,0.0
static_fusion,8192,w8a8,60.0117,136506.776,567.0552,0.1464,2.3333,3.0,0.4101,0.458,0.402,0.000717,8e-06,0.0
entropy_guided,8192,w8a8,63.3263,129361.7232,600.5409,0.0,1.75,3.0,0.4101,0.458,0.402,0.000717,8e-06,0.0
no_fusion,8192,w4a8,72.4044,113142.3471,685.0788,0.1653,1,1.0,0.4101,0.458,0.402,0.000717,8e-06,0.0
static_fusion,8192,w4a8,59.5941,137463.2695,567.0552,0.2227,2.3333,3.0,0.4101,0.458,0.402,0.000717,8e-06,0.0
entropy_guided,8192,w4a8,62.9087,130220.3924,600.5409,0.0,1.75,3.0,0.4101,0.458,0.402,0.000717,8e-06,0.0
no_fusion,8192,fp16,73.3232,111724.551,683.9321,0.0,1,1.0,0.4496,0.497,0.364,0.00057,0.0,0.0
static_fusion,8192,fp16,60.4419,135535.2204,565.1683,0.0443,2.3333,3.0,0.4496,0.497,0.364,0.00057,0.0,0.0
entropy_guided,8192,fp16,54.5813,150088.1621,506.3078,0.0,3.5,4.0,0.4496,0.497,0.364,0.00057,0.0,0.0
no_fusion,8192,w8a8,72.7119,112663.8752,683.9321,0.088,1,1.0,0.4496,0.497,0.364,0.00057,0.0,0.0
static_fusion,8192,w8a8,59.8305,136920.0664,565.1683,0.1323,2.3333,3.0,0.4496,0.497,0.364,0.00057,0.0,0.0
entropy_guided,8192,w8a8,53.9699,151788.2319,506.3078,0.0,3.5,4.0,0.4496,0.497,0.364,0.00057,0.0,0.0
no_fusion,8192,w4a8,72.2943,113314.6216,683.9321,0.1634,1,1.0,0.4496,0.497,0.364,0.00057,0.0,0.0
static_fusion,8192,w4a8,59.413,137882.3809,565.1683,0.2077,2.3333,3.0,0.4496,0.497,0.364,0.00057,0.0,0.0
entropy_guided,8192,w4a8,53.5524,152971.7927,506.3078,0.0666,3.5,4.0,0.4496,0.497,0.364,0.00057,0.0,0.0
no_fusion,8192,fp16,73.2883,111777.7934,683.5683,0.0,1,1.0,0.4852,0.5298,0.3646,0.000778,0.0,0.0
static_fusion,8192,fp16,60.4374,135545.1841,565.122,0.0334,2.3333,3.0,0.4852,0.5298,0.3646,0.000778,0.0,0.0
entropy_guided,8192,fp16,54.5755,150103.9477,506.2481,0.0,3.5,4.0,0.4852,0.5298,0.3646,0.000778,0.0,0.0
no_fusion,8192,w8a8,72.6769,112718.0169,683.5683,0.0894,1,1.0,0.4852,0.5298,0.3646,0.000778,0.0,0.0
static_fusion,8192,w8a8,59.8261,136930.2347,565.122,0.1228,2.3333,3.0,0.4852,0.5298,0.3646,0.000778,0.0,0.0
entropy_guided,8192,w8a8,53.9642,151804.3771,506.2481,0.0,3.5,4.0,0.4852,0.5298,0.3646,0.000778,0.0,0.0
no_fusion,8192,w4a8,72.2594,113369.3907,683.5683,0.1661,1,1.0,0.4852,0.5298,0.3646,0.000778,0.0,0.0
static_fusion,8192,w4a8,59.4085,137892.6926,565.122,0.1995,2.3333,3.0,0.4852,0.5298,0.3646,0.000778,0.0,0.0
entropy_guided,8192,w4a8,53.5466,152988.1908,506.2481,0.0508,3.5,4.0,0.4852,0.5298,0.3646,0.000778,0.0,0.0
no_fusion,8192,fp16,73.581,111333.126,686.6175,0.0,1,1.0,0.4856,0.5171,0.4605,0.000778,1.5e-05,0.0
static_fusion,8192,fp16,60.8154,134702.8071,569.059,0.0376,2.3333,3.0,0.4856,0.5171,0.4605,0.000778,1.5e-05,0.0
entropy_guided,8192,fp16,54.4822,150360.9992,505.2762,0.0,3.5,4.0,0.4856,0.5171,0.4605,0.000778,1.5e-05,0.0
no_fusion,8192,w8a8,72.9697,112265.8524,686.6175,0.0894,1,1.0,0.4856,0.5171,0.4605,0.000778,1.5e-05,0.0
static_fusion,8192,w8a8,60.204,136070.609,569.059,0.1271,2.3333,3.0,0.4856,0.5171,0.4605,0.000778,1.5e-05,0.0
entropy_guided,8192,w8a8,53.8709,152067.2907,505.2762,0.0,3.5,4.0,0.4856,0.5171,0.4605,0.000778,1.5e-05,0.0
no_fusion,8192,w4a8,72.5521,112911.9958,686.6175,0.1661,1,1.0,0.4856,0.5171,0.4605,0.000778,1.5e-05,0.0
static_fusion,8192,w4a8,59.7865,137020.9785,569.059,0.2038,2.3333,3.0,0.4856,0.5171,0.4605,0.000778,1.5e-05,0.0
entropy_guided,8192,w4a8,53.4533,153255.2244,505.2762,0.0144,3.5,4.0,0.4856,0.5171,0.4605,0.000778,1.5e-05,0.0
no_fusion,16384,fp16,83.1661,197003.2331,389.2612,0.0,1,1.0,0.3075,0.372,0.4301,0.000882,0.0,0.0
static_fusion,16384,fp16,68.8905,237826.6528,322.6173,0.086,2.3333,3.0,0.3075,0.372,0.4301,0.000882,0.0,0.0
entropy_guided,16384,fp16,66.5485,246196.4778,310.5754,0.0,2.3333,4.0,0.3075,0.372,0.4301,0.000882,0.0,0.0
no_fusion,16384,w8a8,82.4731,198658.5991,389.2612,0.0902,1,1.0,0.3075,0.372,0.4301,0.000882,0.0,0.0
static_fusion,16384,w8a8,68.1975,240243.3666,322.6173,0.1762,2.3333,3.0,0.3075,0.372,0.4301,0.000882,0.0,0.0
entropy_guided,16384,w8a8,65.8555,248787.214,310.5754,0.0,2.3333,4.0,0.3075,0.372,0.4301,0.000882,0.0,0.0
no_fusion,16384,w4a8,81.9998,199805.3967,389.2612,0.1675,1,1.0,0.3075,0.372,0.4301,0.000882,0.0,0.0
static_fusion,16384,w4a8,67.7242,241922.5572,322.6173,0.2535,2.3333,3.0,0.3075,0.372,0.4301,0.000882,0.0,0.0
entropy_guided,16384,w4a8,65.3821,250588.4111,310.5754,0.0,2.3333,4.0,0.3075,0.372,0.4301,0.000882,0.0,0.0
no_fusion,16384,fp16,83.4541,196323.5263,390.7609,0.0,1,1.0,0.3455,0.3899,0.4463,0.000748,0.000181,0.0
static_fusion,16384,fp16,69.3695,236184.6314,325.1118,0.08,2.3333,3.0,0.3455,0.3899,0.4463,0.000748,0.000181,0.0
entropy_guided,16384,fp16,66.7663,245393.3662,311.7097,0.0,2.3333,4.0,0.3455,0.3899,0.4463,0.000748,0.000181,0.0
no_fusion,16384,w8a8,82.7611,197967.4415,390.7609,0.0892,1,1.0,0.3455,0.3899,0.4463,0.000748,0.000181,0.0
static_fusion,16384,w8a8,68.6765,238567.9219,325.1118,0.1693,2.3333,3.0,0.3455,0.3899,0.4463,0.000748,0.000181,0.0
entropy_guided,16384,w8a8,66.0733,247967.1393,311.7097,0.0,2.3333,4.0,0.3455,0.3899,0.4463,0.000748,0.000181,0.0
